time_ms,roll_deg,u_deg,motor_pos
8327,-163.72,-0.05,0.46
8358,-163.46,-0.05,0.46
8390,-163.02,-0.05,0.46
8421,-162.9,-0.05,0.46
8453,-163.19,-0.05,0.46
8485,-163.41,-0.05,0.46
8516,-163.14,-0.05,0.46
8547,-162.93,-0.05,0.46
8578,-163.18,-0.05,0.46
8611,-163.34,-0.05,0.46
8643,-163.17,-0.05,0.46
8674,-163.02,-0.05,0.46
8706,-163.19,-0.05,0.46
8737,-163.27,-0.05,0.46
8768,-163.11,-0.05,0.46
8799,-163.03,-0.05,0.46
8830,-163.21,-0.05,0.46
8863,-163.27,-0.05,0.46
8895,-163.11,-0.05,0.46
8926,-163.05,-0.05,0.46
8957,-163.22,-0.05,0.46
8988,-163.22,-0.05,0.46
9020,-163.09,-0.05,0.46
9051,-163.09,-0.05,0.46
9082,-163.22,-0.05,0.46
9115,-163.23,-0.05,0.46
9147,-163.1,-0.05,0.46
9178,-163.09,-0.05,0.46
9209,-163.22,-0.05,0.46
9240,-163.19,-0.05,0.46
9271,-163.09,-0.05,0.46
9303,-163.12,-0.05,0.46
9334,-163.22,-0.05,0.46
9367,-163.19,-0.05,0.46
9398,-163.1,-0.05,0.46
9429,-163.17,-0.05,0.46
9460,-163.21,-0.05,0.46
9491,-163.16,-0.05,0.46
9523,-163.13,-0.05,0.46
9555,-163.17,-0.05,0.46
9587,-163.19,-0.05,0.46
9619,-163.15,-0.05,0.46
9650,-163.16,-0.05,0.46
9681,-163.19,-0.05,0.46
9712,-163.19,0.1,0.46
9744,-163.2,0.1,0.46
9776,-164.06,0.1,0.46
9808,-164.85,0.1,0.46
9839,-164.46,0.1,0.46
9870,-163.71,0.1,0.46
9901,-163.66,0.1,0.46
9932,-164.35,0.1,0.46
9965,-164.71,0.1,0.46
9997,-164.38,0.1,0.46
10029,-163.86,0.1,0.46
10060,-163.94,0.1,0.46
10091,-164.31,0.1,0.46
10122,-164.38,0.1,0.46
10153,-164.12,0.1,0.46
10185,-163.89,0.1,0.46
10217,-164.09,0.1,0.46
10249,-164.31,0.1,0.46
10280,-164.15,0.1,0.46
10312,-163.99,0.1,0.46
10343,-164.06,0.1,0.46
10374,-164.23,0.1,0.46
10405,-164.22,0.1,0.46
10436,-164.04,0.1,0.46
10469,-164.02,0.1,0.46
10501,-164.17,0.1,0.46
10532,-164.16,0.1,0.46
10563,-164.05,0.1,0.46
10594,-164.06,0.1,0.46
10625,-164.13,0.1,0.46
10657,-164.15,0.1,0.46
10689,-164.08,0.1,0.46
10721,-164.04,0.1,0.46
10752,-164.14,0.1,0.46
10783,-164.14,0.1,0.46
10814,-164.07,-0.1,0.46
10846,-164.06,-0.1,0.46
10877,-163.18,-0.1,0.46
10910,-162.23,-0.1,0.45
10941,-162.49,-0.1,0.45
10973,-163.37,-0.1,0.46
11004,-163.33,-0.1,0.46
11035,-162.68,-0.1,0.46
11066,-162.44,-0.1,0.45
11099,-163,-0.1,0.46
11130,-163.26,-0.1,0.46
11162,-162.98,-0.1,0.46
11193,-162.54,-0.1,0.46
11224,-162.77,-0.1,0.46
11255,-163.1,-0.1,0.46
11286,-163.03,-0.1,0.46
11318,-162.67,-0.1,0.46
11351,-162.67,-0.1,0.46
11382,-162.96,-0.1,0.46
11413,-162.99,-0.1,0.46
11445,-162.72,-0.1,0.46
11476,-162.71,-0.1,0.46
11507,-162.9,-0.1,0.46
11538,-162.95,-0.1,0.46
11571,-162.77,-0.1,0.46
11603,-162.71,-0.1,0.46
11634,-162.93,-0.1,0.46
11665,-162.89,-0.1,0.46
11696,-162.75,-0.1,0.46
11727,-162.76,-0.1,0.46
11759,-162.87,-0.1,0.46
11791,-162.87,-0.1,0.46
11823,-162.78,-0.1,0.46
11855,-162.77,-0.1,0.46
11886,-162.9,-0.1,0.46
11917,-162.86,-0.1,0.46
11948,-162.76,-0.1,0.46
11979,-162.81,-0.1,0.46
12012,-162.88,-0.1,0.46
12043,-162.85,-0.1,0.46
12075,-162.79,-0.1,0.46
12106,-162.84,-0.1,0.46
12137,-162.87,-0.1,0.46
12168,-162.82,-0.1,0.46
12200,-162.79,-0.1,0.46
12239,-162.85,-0.1,0.46
12272,-162.86,-0.1,0.46
12304,-162.8,-0.1,0.46
12335,-162.79,-0.1,0.46
12366,-162.86,-0.1,0.46
12398,-162.83,-0.1,0.46
12429,-162.79,0.15,0.46
12460,-162.83,0.15,0.46
12491,-164.02,0.15,0.46
12524,-165.5,0.15,0.46
12556,-165.34,0.15,0.46
12587,-164.16,0.15,0.46
12618,-163.79,0.15,0.46
12649,-164.84,0.15,0.46
12680,-165.06,0.15,0.46
12713,-164.2,0.15,0.46
12744,-163.65,0.15,0.46
12776,-164.08,0.15,0.46
12808,-164.73,0.15,0.46
12839,-164.65,0.15,0.46
12870,-164.2,0.15,0.46
12901,-163.92,0.15,0.46
12932,-164.21,0.15,0.46
12964,-164.46,0.15,0.46
12996,-164.42,0.15,0.46
13028,-164.18,0.15,0.46
13059,-164.1,0.15,0.46
13090,-164.32,0.15,0.46
13121,-164.4,0.15,0.46
13152,-164.24,0.15,0.46
13183,-164.12,0.15,0.46
13216,-164.22,0.15,0.46
13247,-164.34,0.15,0.46
13279,-164.29,0.15,0.46
13310,-164.17,0.15,0.46
13341,-164.22,0.15,0.46
13372,-164.31,0.15,0.46
13404,-164.28,0.15,0.46
13435,-164.2,0.15,0.46
13468,-164.2,0.15,0.46
13499,-164.28,0.15,0.46
13530,-164.28,0.15,0.46
13561,-164.21,0.15,0.46
13593,-164.21,0.15,0.46
13624,-164.26,0.15,0.46
13656,-164.25,0.15,0.46
13689,-164.22,0.15,0.46
13720,-164.23,0.15,0.46
13751,-164.26,-0.15,0.46
13782,-164.15,-0.15,0.46
13814,-162.46,-0.15,0.46
13845,-161.24,-0.15,0.45
13877,-162,-0.15,0.45
13910,-163.13,-0.15,0.46
13941,-163.18,-0.15,0.46
13972,-161.71,-0.15,0.45
14003,-161.81,-0.15,0.45
14034,-162.87,-0.15,0.46
14066,-163.07,-0.15,0.46
14097,-162.33,-0.15,0.45
14130,-161.83,-0.15,0.45
14162,-162.25,-0.15,0.45
14193,-162.87,-0.15,0.46
14224,-162.57,-0.15,0.46
14255,-162,-0.15,0.45
14286,-162.15,-0.15,0.45
14318,-162.64,-0.15,0.46
14349,-162.65,-0.15,0.46
14382,-162.3,-0.15,0.45
14413,-162.14,-0.15,0.45
14444,-162.49,-0.15,0.45
14475,-162.61,-0.15,0.46
14506,-162.34,-0.15,0.45
14537,-162.15,-0.15,0.45
14570,-162.38,-0.15,0.45
14601,-162.56,-0.15,0.46
14633,-162.42,-0.15,0.45
14664,-162.21,-0.15,0.45
14695,-162.37,-0.15,0.45
14726,-162.54,-0.15,0.45
14758,-162.42,-0.15,0.45
14789,-162.26,-0.15,0.45
14821,-162.34,-0.15,0.45
14853,-162.49,-0.15,0.45
14884,-162.39,-0.15,0.45
14915,-162.29,-0.15,0.45
14946,-162.39,-0.15,0.45
14978,-162.49,-0.15,0.45
15010,-162.41,-0.15,0.45
15043,-162.3,-0.15,0.45
15074,-162.39,-0.15,0.45
15105,-162.5,-0.15,0.45
15136,-162.39,-0.15,0.45
15168,-162.34,-0.15,0.45
15199,-162.43,-0.15,0.45
15231,-162.49,-0.15,0.45
15263,-162.4,0.2,0.45
15295,-162.35,0.2,0.45
15326,-164.41,0.2,0.46
15357,-166.01,0.2,0.46
15388,-165.36,0.2,0.46
15420,-163.86,0.2,0.46
15451,-163.45,0.2,0.46
15484,-164.69,0.2,0.46
15516,-165.64,0.2,0.46
15547,-164.53,0.2,0.46
15578,-163.79,0.2,0.46
15609,-164.25,0.2,0.46
15640,-164.99,0.2,0.46
15672,-165.18,0.2,0.46
15703,-164.55,0.2,0.46
15736,-164.03,0.2,0.46
15767,-164.57,0.2,0.46
15798,-164.96,0.2,0.46
15829,-164.9,0.2,0.46
15861,-164.56,0.2,0.46
15892,-164.27,0.2,0.46
15925,-164.43,0.2,0.46
15956,-164.69,0.2,0.46
15987,-164.65,0.2,0.46
16018,-164.46,0.2,0.46
16050,-164.37,0.2,0.46
16081,-164.54,-0.2,0.46
16113,-164.63,-0.2,0.46
16144,-163.07,-0.2,0.46
16177,-160.95,-0.2,0.45
16208,-161.81,-0.2,0.45
16239,-163.29,-0.2,0.46
16270,-163.25,-0.2,0.46
16301,-161.72,-0.2,0.45
16333,-161.28,-0.2,0.45
16366,-162.61,-0.2,0.46
16397,-163.26,-0.2,0.46
16428,-161.95,-0.2,0.45
16459,-161.62,-0.2,0.45
16490,-162.4,-0.2,0.45
16522,-162.84,-0.2,0.46
16553,-162.32,-0.2,0.45
16585,-161.67,-0.2,0.45
16618,-162.02,-0.2,0.45
16649,-162.62,-0.2,0.45
16680,-162.37,-0.2,0.45
16711,-161.89,-0.2,0.45
16742,-161.93,-0.2,0.45
16774,-162.37,-0.2,0.45
16805,-162.48,-0.2,0.45
16838,-162.15,-0.2,0.45
16869,-161.92,-0.2,0.45
16900,-162.28,-0.2,0.45
16942,-162.31,-0.2,0.45
16975,-162.06,-0.2,0.45
17006,-162.05,-0.2,0.45
17038,-162.27,-0.2,0.45
17070,-162.33,-0.2,0.45
17101,-162.06,-0.2,0.45
17132,-162.1,-0.2,0.45
17163,-162.27,-0.2,0.45
17194,-162.27,-0.2,0.45
17227,-162.12,-0.2,0.45
17258,-162.12,-0.2,0.45
17290,-162.24,-0.2,0.45
17321,-162.22,-0.2,0.45
17353,-162.1,-0.2,0.45
17384,-162.14,-0.2,0.45
17415,-162.24,-0.2,0.45
17446,-162.2,-0.2,0.45
17479,-162.11,-0.2,0.45
17510,-162.15,-0.2,0.45
17542,-162.23,-0.2,0.45
17573,-162.16,-0.2,0.45
17604,-162.11,-0.2,0.45
17635,-162.19,-0.2,0.45
17668,-162.24,-0.2,0.45
17699,-162.16,-0.2,0.45
17731,-162.12,-0.2,0.45
17762,-162.22,-0.2,0.45
17793,-162.19,0.25,0.45
17824,-162.26,0.25,0.45
17856,-164.46,0.25,0.46
17888,-166.24,0.25,0.47
17920,-165.49,0.25,0.46
17952,-163.83,0.25,0.46
17983,-163.75,0.25,0.46
18014,-165.3,0.25,0.46
18045,-165.7,0.25,0.46
18076,-164.54,0.25,0.46
18107,-163.82,0.25,0.46
18140,-164.35,0.25,0.46
18172,-165.13,0.25,0.46
18204,-165.09,0.25,0.46
18235,-164.34,0.25,0.46
18266,-164.15,0.25,0.46
18297,-164.7,0.25,0.46
18329,-165.1,0.25,0.46
18360,-164.98,0.25,0.46
18393,-164.58,0.25,0.46
18424,-164.37,0.25,0.46
18455,-164.69,0.25,0.46
18486,-164.91,0.25,0.46
18517,-164.85,0.25,0.46
18549,-164.66,0.25,0.46
18581,-164.51,0.25,0.46
18612,-164.56,0.25,0.46
18644,-164.69,0.25,0.46
18675,-164.66,0.25,0.46
18707,-164.58,0.25,0.46
18738,-164.57,0.25,0.46
18769,-164.63,-0.25,0.46
18800,-164.62,-0.25,0.46
18843,-161.87,-0.25,0.45
18875,-160.67,-0.25,0.45
18907,-162.49,-0.25,0.45
18938,-163.53,-0.25,0.46
18969,-162.63,-0.25,0.45
19000,-161.18,-0.25,0.45
19035,-161.64,-0.25,0.45
19067,-163.2,-0.25,0.46
19098,-162.68,-0.25,0.45
19129,-161.67,-0.25,0.45
19160,-161.69,-0.25,0.45
19192,-162.5,-0.25,0.45
19225,-162.88,-0.25,0.45
19256,-162.31,-0.25,0.45
19287,-161.72,-0.25,0.45
19318,-162.3,-0.25,0.45
19349,-162.66,-0.25,0.45
19381,-162.37,-0.25,0.45
19412,-161.94,-0.25,0.45
19445,-162,-0.25,0.45
19477,-162.42,-0.25,0.45
19508,-162.4,-0.25,0.45
19539,-162.01,-0.25,0.45
19570,-162.05,-0.25,0.45
19601,-162.37,-0.25,0.45
19634,-162.4,-0.25,0.45
19665,-162.16,-0.25,0.45
19697,-162.05,-0.25,0.45
19728,-162.34,-0.25,0.45
19759,-162.37,-0.25,0.45
19790,-162.12,-0.25,0.45
19822,-162.06,-0.25,0.45
19853,-162.3,-0.25,0.45
19885,-162.37,-0.25,0.45
19916,-162.22,-0.25,0.45
19948,-162.14,-0.25,0.45
19979,-162.3,-0.25,0.45
20010,-162.3,-0.25,0.45
20042,-162.18,-0.25,0.45
20074,-162.17,-0.25,0.45
20105,-162.3,-0.25,0.45
20137,-162.3,-0.25,0.45
20168,-162.17,-0.25,0.45
20200,-162.22,-0.25,0.45
20242,-162.3,-0.25,0.45
20274,-162.24,-0.25,0.45
20305,-162.18,-0.25,0.45
20338,-162.25,-0.25,0.45
20370,-162.28,-0.25,0.45
20401,-162.23,-0.25,0.45
20432,-162.25,-0.25,0.45
20463,-162.27,-0.25,0.45
20495,-162.26,-0.25,0.45
20527,-162.21,-0.25,0.45
20558,-162.21,-0.25,0.45
20590,-162.28,0.3,0.45
20621,-162.6,0.3,0.45
20652,-165.1,0.3,0.46
20683,-166.57,0.3,0.47
20714,-165.45,0.3,0.46
20747,-163.79,0.3,0.46
20779,-163.75,0.3,0.46
20811,-165.35,0.3,0.46
20842,-165.78,0.3,0.47
20873,-164.43,0.3,0.46
20904,-164.03,0.3,0.46
20936,-164.8,0.3,0.46
20967,-165.53,0.3,0.46
20999,-165.35,0.3,0.46
21031,-164.58,0.3,0.46
21062,-164.51,0.3,0.46
21093,-165.17,0.3,0.46
21124,-165.35,0.3,0.46
21156,-164.98,0.3,0.46
21188,-164.64,0.3,0.46
21219,-164.65,0.3,0.46
21252,-164.97,0.3,0.46
21283,-165.16,0.3,0.46
21314,-165,0.3,0.46
21345,-164.83,0.3,0.46
21376,-164.77,0.3,0.46
21407,-164.84,0.3,0.46
21440,-164.93,0.3,0.46
21472,-164.92,0.3,0.46
21503,-164.84,0.3,0.46
21534,-164.83,0.3,0.46
21565,-164.89,0.3,0.46
21597,-164.91,0.3,0.46
21629,-164.89,0.3,0.46
21661,-164.89,0.3,0.46
21693,-164.89,0.3,0.46
21724,-164.9,0.3,0.46
21755,-164.9,0.3,0.46
21786,-164.87,0.3,0.46
21818,-164.87,0.3,0.46
21851,-164.9,-0.3,0.46
21883,-164.9,-0.3,0.46
21914,-162.08,-0.3,0.45
21945,-160.87,-0.3,0.45
21976,-162.15,-0.3,0.45
22008,-163.65,-0.3,0.45
22040,-163.42,-0.3,0.45
22071,-161.8,-0.3,0.45
22104,-161.46,-0.3,0.45
22135,-163.23,-0.3,0.45
22166,-163.29,-0.3,0.45
22197,-162.27,-0.3,0.45
22228,-161.76,-0.3,0.45
22260,-162.38,-0.3,0.45
22292,-163.08,-0.3,0.45
22323,-162.89,-0.3,0.45
22355,-162.13,-0.3,0.45
22386,-162.24,-0.3,0.45
22417,-162.84,-0.3,0.45
22448,-162.85,-0.3,0.45
22481,-162.4,-0.3,0.45
22512,-162.13,-0.3,0.45
22544,-162.44,-0.3,0.45
22576,-162.77,-0.3,0.45
22607,-162.49,-0.3,0.45
22638,-162.21,-0.3,0.45
22669,-162.42,-0.3,0.45
22702,-162.67,-0.3,0.45
22734,-162.55,-0.3,0.45
22765,-162.32,-0.3,0.45
22797,-162.37,-0.3,0.45
22828,-162.59,-0.3,0.45
22859,-162.51,-0.3,0.45
22890,-162.35,-0.3,0.45
22921,-162.42,-0.3,0.45
22953,-162.57,-0.3,0.45
22986,-162.53,-0.3,0.45
23017,-162.4,-0.3,0.45
23048,-162.46,-0.3,0.45
23079,-162.55,-0.3,0.45
23110,-162.5,-0.3,0.45
23143,-162.42,-0.3,0.45
23174,-162.47,-0.3,0.45
23206,-162.53,-0.3,0.45
23238,-162.5,-0.3,0.45
23269,-162.45,-0.3,0.45
23300,-162.48,-0.3,0.45
23343,-162.49,-0.3,0.45
23375,-162.45,-0.3,0.45
23407,-162.45,-0.3,0.45
23439,-162.5,-0.3,0.45
23470,-162.49,-0.3,0.45
23501,-162.48,-0.3,0.45
23532,-162.48,-0.3,0.45
23563,-162.5,-0.3,0.45
23595,-162.51,-0.3,0.45
23628,-162.48,-0.3,0.45
23659,-162.48,-0.3,0.45
23690,-162.48,-0.3,0.45
23721,-162.47,-0.3,0.45
23753,-162.49,0.35,0.45
23785,-162.52,0.35,0.45
23816,-164.38,0.35,0.46
23848,-166.6,0.35,0.47
23880,-165.62,0.35,0.47
23911,-164.01,0.35,0.46
23942,-163.96,0.35,0.46
23973,-165.55,0.35,0.46
24005,-166.24,0.35,0.47
24038,-165.04,0.35,0.46
24069,-164.17,0.35,0.46
24100,-165.05,0.35,0.46
24143,-165.8,0.35,0.47
24174,-165.23,0.35,0.46
24207,-164.54,0.35,0.46
24239,-164.74,0.35,0.46
24270,-165.42,0.35,0.47
24301,-165.4,0.35,0.46
24333,-164.93,0.35,0.46
24364,-164.75,0.35,0.46
24396,-165.1,0.35,0.46
24427,-165.34,0.35,0.46
24459,-165.2,0.35,0.46
24491,-164.92,0.35,0.46
24522,-164.87,0.35,0.46
24553,-165.01,0.35,0.46
24584,-165.1,0.35,0.46
24615,-165.08,0.35,0.46
24648,-165.01,0.35,0.46
24680,-164.96,0.35,0.46
24712,-164.98,0.35,0.46
24743,-165.02,0.35,0.46
24774,-165.02,0.35,0.46
24805,-165.02,0.35,0.46
24838,-165.02,0.35,0.46
24869,-165.03,0.35,0.46
24902,-165.03,0.35,0.46
24933,-165.01,-0.35,0.46
24964,-164.76,-0.35,0.46
24995,-162.3,-0.35,0.45
