axis,scenario,controller,window,RMSE,MAE,peak,IAE,ISE,effort,u_rms,u_max,sse,in_1deg,in_2deg
roll,empty,pid,acq,0.5132636633019707,0.0801252262029996,5.993641734124218,1.5223792978569923,5.005352173257016,0.1858289767063339,2.6836361566170104,2.7152687626379817,-0.010312130795093494,98.19078947368422,98.68421052631578
roll,empty,pid,dist,1.1505976654104682,0.7933903521391376,5.9855884868098626,47.60342112834825,79.4324992588812,1.58977275817981,1.207530805512814,3.158142607869806,-0.0075325666927612625,63.33333333333333,87.76041666666666
roll,empty,rst,acq,0.5911875234306094,0.09540468248898461,5.988690450711608,1.8126889672907076,6.640551069340331,0.17847745768068468,2.6831241659188003,2.8121500697155195,-0.011834571336878902,98.02631578947368,98.35526315789474
roll,empty,rst,dist,1.2632611681124748,0.874563265776742,5.986037294702756,52.473795946604525,95.74972673165365,1.3388597534713194,1.2214337003057791,3.2487976079686454,-0.0072128344452256354,59.27083333333333,86.09375
roll,empty,lqr,acq,0.46719951694451023,0.06492320332910376,6.010437817961671,1.2335408632529714,4.147232384030491,0.23094493910922556,2.6898419954871526,2.7204530159849467,-0.01359294800190114,98.84868421052632,99.01315789473685
roll,empty,lqr,dist,1.0958652700474756,0.7112086859065638,5.9790976819664605,42.67252115439383,72.05524140577361,1.8639380308713094,1.2266543747411418,3.164327207343197,-0.008530299616662053,75.88541666666667,88.69791666666667
roll,empty,lqg,acq,0.547440296219822,0.0832514314212089,5.999547217013468,1.5817771970029693,5.694126680579682,0.20339457925289772,2.6833130647585883,2.7160785766375075,-0.010974786998920794,98.35526315789474,98.68421052631578
roll,empty,lqg,dist,1.227175922176325,0.8395492331776206,5.99163933511311,50.37295399065724,90.35764463815882,1.608219526639759,1.2137356371649455,3.1588641288558263,-0.007194009213951892,61.61458333333333,86.09375
roll,empty,mrac,acq,0.5927541583401514,0.10984380305363343,5.988690450711608,2.0870322580190352,6.6757923523612845,0.18411036998192423,2.6979884786415393,2.880244334425524,0.005834492195026922,98.02631578947368,98.51973684210526
roll,empty,mrac,dist,1.236410676889822,0.8651559039715894,6.006098365539805,51.909354238295364,91.72268171562885,1.45501058958866,1.1904066339899992,3.1609140928797426,-0.06922875190063198,61.66666666666667,85.98958333333333
roll,half,pid,acq,0.5138666985573884,0.10063093370741365,5.993991204795793,1.9119877404408594,5.017120693839128,0.20484383864968359,2.6837264802413623,2.716700629152009,-0.008756968345902172,98.19078947368422,98.68421052631578
roll,half,pid,dist,1.154008040900532,0.8421478381863053,5.959743819735198,50.52887029117832,79.90407350778503,1.6742299941529508,1.2066963140488398,3.154662207659268,-0.009591643586800452,63.28125,88.22916666666667
roll,half,rst,acq,0.5898038234224673,0.09643659239142315,5.9882302884874,1.8322952554370397,6.6095024523514585,0.1787542599095261,2.6835518398480915,2.8145634435048006,-0.01127769504548079,98.02631578947368,98.35526315789474
roll,half,rst,dist,1.2620567261685511,0.8839690823513178,5.996416603597725,53.03814494107907,95.56723080403688,1.342087174178413,1.221037830419409,3.246675277016315,-0.008090815017387912,59.114583333333336,85.9375
roll,half,lqr,acq,0.4696410546361475,0.10425283914845304,6.0093476073642025,1.9808039438206078,4.190691683795305,0.27081823572977043,2.690403656532882,2.725851210526972,-0.008184717150594198,98.84868421052632,99.17763157894737
roll,half,lqr,dist,1.1115880672722624,0.7879101593450056,5.930191342601139,47.27460956070034,74.13768187812504,2.006350152971716,1.2261899389096547,3.164327368402211,-0.018037402244751255,75.52083333333334,88.90625
roll,half,lqg,acq,0.547252598022811,0.1039793478517073,5.998781908493388,1.9756076091824388,5.69022271481161,0.2214607261084076,2.683088727132121,2.720873671559366,-0.011487722479443241,98.35526315789474,98.68421052631578
roll,half,lqg,dist,1.23832560266245,0.8966323145663335,5.995976920309067,53.79793887398001,92.00701789255922,1.6936807151288054,1.2129239448113245,3.152019017448252,-0.024196809388983852,61.354166666666664,86.14583333333333
